block_geoid,pop
360050129011002,154
360050129011003,331
360050129011004,75
360050129011005,325
360050129011006,462
360050129011007,426
360050129012000,591
360050129012001,1067
360050129012002,517
360050130001002,241
360050130001005,113
360050130001008,93
360050130001000,51
360050130001001,119
360050130001003,286
360050130001004,0
360050130001006,59
360050130001007,32
360050130001009,204
360050131001002,346
360050131002000,628
360050131002003,89
360050131003002,0
360050131004001,508
360050131001000,468
360050131001001,419
360050131001003,211
360050131001004,0
360050131002001,230
360050131002002,292
360050131003000,382
360050131003001,1110
360050131003003,0
360050131003004,212
360050131004000,495
360050132001001,223
360050132002000,110
360050132002003,125
360050132003009,23
360050132004000,84
360050132004004,157
360050132004007,187
360050132005001,109
360050132005004,106
360050132005008,142
360050132005003,319
360050132000001,0
360050132001000,277
360050132001002,308
360050132001003,337
360050132002001,129
360050132002002,90
360050132002004,78
360050132002005,125
360050132002006,260
360050132002007,63
360050132002008,62
360050132003000,198
360050132003001,208
360050132003002,181
360050132003003,108
360050132003004,138
360050132003005,139
360050132003006,158
360050132003007,0
360050132003008,90
360050132003010,44
360050132003011,165
360050132004001,135
360050132004002,194
360050132004003,152
360050132004005,125
360050132004006,218
360050132004008,195
360050132005000,148
360050132005002,176
360050132005005,167
360050132005006,118
360050132005007,84
360050132005009,98
360050132005010,99
360050133001000,2070
360050133002002,95
360050133003000,958
360050133002000,368
360050133002001,453
360050133002003,160
360050133002004,602
360050133004000,1358
360050135001002,0
360050135003000,635
360050135001000,363
360050135001001,418
360050135002000,323
360050135002001,1428
360050135003001,0
360050135003002,611
360050135003003,223
360050135003004,0
360050138002002,27
360050138001011,0
360050138001014,153
360050138001018,47
360050138001021,81
360050138001024,86
360050138001027,79
360050138001031,20
360050138001034,0
360050138001037,19
360050138002000,475
360050138001026,63
360050138002003,53
360050138002004,82
360050138002005,0
360050138000001,0
360050138001000,113
360050138001001,49
360050138001002,25
360050138001003,104
360050138001004,30
360050138001005,178
360050138001006,0
360050138001007,0
360050138001008,0
360050138001009,0
360050138001010,0
360050138001012,0
360050138001013,0
360050138001015,0
360050138001016,34
360050138001017,11
360050138001019,42
360050138001020,57
360050138001022,17
360050138001023,54
360050138001025,92
360050138001028,296
360050138001029,73
360050138001030,83
360050138001032,0
360050138001033,0
360050138001035,0
360050138001036,0
360050138001038,0
360050138001039,56
360050138002001,137
360050138002006,0
360050138002007,0
360050138002008,176
360050138002009,120
360050138002010,128
360050138002011,0
360050141001002,723
360050141002000,480
360050141002003,0
360050141003001,83
360050141003004,453
360050141003007,543
360050141001004,0
360050141001000,260
360050141001001,717
360050141001003,348
360050141002001,192
360050141002002,1709
360050141002004,0
360050141002005,0
360050141003000,235
360050141003002,700
360050141003003,497
360050141003005,91
360050141003006,313
360050143001002,420
360050143001006,0
360050143001009,139
360050143001000,0
360050143001001,0
360050143001003,391
360050143001004,0
360050143001005,0
360050143001007,137
360050143001008,86
360050143001010,725
360050144002000,0
360050144003000,661
360050144001000,298
360050144002001,0
360050144002002,886
360050144004000,1071
360050144005000,1089
360050144005001,271
360050144005002,253
360050144005003,413
360050144006000,0
360050144006001,0
360050144006002,0
360050144006003,235
360050144006004,287
360050144006005,138
360050144006006,0
360050144006007,177
360050144006008,267
360050145004000,1139
360050145004003,79
360050145001000,1276
360050145001001,1231
360050145002000,1694
360050145003000,545
360050145003001,618
360050145004001,344
360050145004002,129
360050147011000,2301
360050147013000,1685
360050147012001,1613
360050147012000,762
360050147022001,681
360050147022004,328
360050147021000,943
360050147022000,291
360050147022002,381
360050147022003,0
360050147023000,826
360050147024000,1631
360050149001001,419
360050149002001,822
360050149003002,628
360050149001000,222
360050149001002,1090
360050149002000,521
360050149003000,0
360050149003001,1021
360050151001002,180
360050151002002,0
360050151003000,485
360050151001000,442
360050151001001,126
360050151001003,221
360050151002000,435
360050151002001,503
360050151002003,372
360050151002004,379
360050151003001,310
360050151003002,107
360050151003003,952
360050151004000,358
360050151004001,266
360050151004002,321
360050151004003,175
360050151004004,189
360050151004005,136
360050152002001,228
360050152002004,127
360050152002008,133
360050152001000,227
360050152001001,223
360050152001002,125
360050152001003,0
360050152001004,125
360050152001005,307
360050152002000,190
360050152002002,332
360050152002003,196
360050152002005,113
360050152002006,114
360050152002007,88
360050152002009,0
360050152002010,65
360050153001000,37
360050153001003,48
360050153001006,463
360050153001010,44
360050153002001,386
360050153003002,553
360050153001005,153
360050153001001,127
360050153001002,123
360050153001004,143
360050153001007,503
360050153001008,79
360050153001009,231
360050153001011,60
360050153002000,449
360050153003000,386
360050153003001,473
360050155002001,180
360050155002005,261
360050155001000,1899
360050155002000,375
360050155002002,32
360050155002003,91
360050155002004,53
360050157002004,557
360050157003002,260
360050157003005,0
360050157004003,669
360050157001002,0
360050157001000,0
360050157001001,0
360050157002000,0
360050157002001,726
360050157002002,221
360050157002003,478
360050157003000,0
360050157003001,572
360050157003003,410
360050157003004,742
360050157004000,424
360050157004001,121
360050157004002,362
360050158001002,212
360050158001005,117
360050158001008,0
360050158001000,0
360050158001001,306
360050158001003,108
360050158001004,123
360050158001006,386
360050158001007,190
360050158001009,0
360050159002000,243
360050159001000,934
360050159001001,1036
360050159002001,268
360050160001000,86
360050160001003,241
360050160001006,145
360050160003001,194
360050160003004,128
360050160004002,127
360050160004005,90
360050160000001,0
360050160001001,197
360050160001002,94
360050160001004,209
360050160001005,240
360050160001007,162
360050160001008,212
360050160002000,195
360050160002001,225
360050160002002,145
360050160002003,0
360050160002004,44
360050160002005,17
360050160002006,0
360050160002007,0
360050160002008,20
360050160002009,0
360050160002010,119
360050160002011,135
360050160003000,111
360050160003002,128
360050160003003,226
360050160003005,74
360050160004000,105
360050160004001,122
360050160004003,101
360050160004004,111
360050161001002,37
360050161001005,322
360050161001009,185
360050161002001,523
360050161004000,816
360050161001004,603
360050161001000,0
360050161001001,0
360050161001003,217
360050161001006,189
360050161001007,0
360050161001008,159
360050161001010,92
360050161002000,0
360050161002002,511
360050161003000,1116
360050161004001,473
360050162001001,255
360050162002001,193
360050162002004,73
360050162001000,369
